Season      Lat      Lon      Rs      SZA      Aerosol_net      Clear_net      Net_net      Column_DAOD
0.000      18.300      2.500      0.374      53.935      532.295      533.428      -1.133      0.622
0.000      18.300      5.000      0.382      54.063      526.327      527.387      -1.061      0.622
0.000      18.300      7.500      0.290      54.077      574.860      577.035      -2.175      0.622
0.000      18.300      10.000      0.443      53.967      494.768      495.128      -0.361      0.622
0.000      18.300      12.500      0.534      53.719      447.865      447.246      0.618      0.622
0.000      18.300      15.000      0.497      53.316      472.863      472.551      0.312      0.622
0.000      18.300      17.500      0.397      52.740      535.324      536.001      -0.677      0.622
0.000      18.300      20.000      0.424      51.965      529.845      530.098      -0.253      0.622
0.000      18.300      22.500      0.393      51.247      556.474      556.965      -0.491      0.622
0.000      18.300      25.000      0.504      51.535      488.832      488.175      0.657      0.622
0.000      18.300      27.500      0.416      51.810      536.307      536.625      -0.318      0.622
0.000      18.300      30.000      0.419      52.071      531.390      531.715      -0.325      0.622
0.000      18.300      32.500      0.292      52.314      599.082      600.953      -1.871      0.622
0.000      18.300      35.000      0.326      52.537      577.246      578.729      -1.483      0.622
0.000      18.300      37.500      0.207      52.734      639.119      642.169      -3.050      0.622
0.000      18.300      40.000      0.078      53.113      701.218      706.168      -4.950      0.622
0.000      18.300      42.500      0.185      53.480      639.113      642.579      -3.466      0.622
0.000      18.300      45.000      0.416      53.771      511.826      512.453      -0.627      0.622
0.000      18.300      47.500      0.442      53.975      495.217      495.590      -0.373      0.622
0.000      18.300      50.000      0.398      54.081      517.536      518.416      -0.880      0.622
0.000      20.200      -30.000      0.082      54.519      674.662      679.758      -5.096      0.622
0.000      20.200      -27.500      0.081      53.939      685.318      690.344      -5.026      0.622
0.000      20.200      -25.000      0.079      53.169      699.734      704.677      -4.943      0.622
0.000      20.200      -22.500      0.079      52.913      704.156      709.062      -4.906      0.622
0.000      20.200      -20.000      0.078      53.144      700.686      705.641      -4.954      0.622
0.000      20.200      -17.500      0.078      53.356      696.999      701.984      -4.985      0.622
0.000      20.200      -15.000      0.404      53.550      521.144      521.870      -0.726      0.622
0.000      20.200      -12.500      0.356      53.721      544.803      546.114      -1.310      0.622
0.000      20.200      -10.000      0.487      53.868      472.028      471.906      0.122      0.622
0.000      20.200      -7.500      0.468      53.986      480.988      481.084      -0.096      0.622
0.000      20.200      -5.000      0.496      54.244      462.781      462.627      0.154      0.622
0.000      20.200      -2.500      0.465      54.658      474.555      474.791      -0.236      0.622
0.000      20.200      0.000      0.359      54.978      526.142      527.621      -1.479      0.622
0.000      20.200      2.500      0.313      55.198      546.739      548.810      -2.071      0.622
0.000      20.200      5.000      0.420      55.310      490.100      490.933      -0.833      0.622
0.000      20.200      7.500      0.347      55.305      527.816      529.491      -1.676      0.622
0.000      20.200      10.000      0.503      55.171      448.336      448.260      0.076      0.622
0.000      20.200      12.500      0.443      54.893      483.335      483.847      -0.511      0.622
0.000      20.200      15.000      0.397      54.454      513.221      514.173      -0.952      0.622
0.000      20.200      17.500      0.219      53.833      615.750      618.808      -3.059      0.622
0.000      20.200      20.000      0.443      53.004      506.523      506.730      -0.207      0.622
0.000      20.200      22.500      0.456      52.743      502.406      502.432      -0.026      0.622
0.000      20.200      25.000      0.461      53.027      496.241      496.258      -0.018      0.622
0.000      20.200      27.500      0.451      53.297      498.557      498.724      -0.167      0.622
0.000      20.200      30.000      0.418      53.550      513.528      514.097      -0.569      0.622
0.000      20.200      32.500      0.394      53.783      523.547      524.424      -0.877      0.622
0.000      20.200      35.000      0.326      53.994      557.054      558.769      -1.715      0.622
0.000      20.200      37.500      0.109      54.176      666.949      671.598      -4.649      0.622
0.000      20.200      40.000      0.097      54.439      668.492      673.356      -4.864      0.622
0.000      20.200      42.500      0.258      54.794      580.849      583.548      -2.699      0.622
0.000      20.200      45.000      0.364      55.069      522.311      523.746      -1.435      0.622
0.000      20.200      47.500      0.432      55.253      484.585      485.276      -0.691      0.622
0.000      20.200      50.000      0.436      55.337      481.451      482.112      -0.661      0.622
0.000      22.100      -30.000      0.084      55.668      653.371      658.611      -5.240      0.622
0.000      22.100      -27.500      0.083      55.048      664.849      670.010      -5.161      0.622
0.000      22.100      -25.000      0.081      54.227      680.278      685.346      -5.068      0.622
0.000      22.100      -22.500      0.082      54.413      676.525      681.606      -5.081      0.622
0.000      22.100      -20.000      0.082      54.642      672.499      677.614      -5.115      0.622
0.000      22.100      -17.500      0.082      54.851      668.818      673.964      -5.146      0.622
0.000      22.100      -15.000      0.336      55.039      537.190      538.954      -1.764      0.622
